atc,nameen,ddd,administration_route
D10AD23,adapals and benzoyl peroxide,,
N01BB01,bupivacaine,,
S01XC,film formers,,
V09GB01,fibrinogen (125i),,
C01DX05,carbocromen,,
C05CA57,"aescin, combinations",,
C07BB12,nebivolol and thiazides,,
D01AA06,mepartricin,,
B05XB01,arginine hydrochloride,,
G03DB04,nomegestrol,,
A03BA03,hyoscyamine,1.2,O
J07AH06,"meningococcus b, outer membrane vesicle vaccine",,
V03AH01,diazoxide,,
M03BX07,tetrazepam,,
L04AD,calcineurin inhibitors,,
N05BC,carbamates,,
V08CA07,ferric ammonium citrate,,
S01EE02,unoprostone,,
L03AX09,thymopentin,,
G03XB01,mifepristone,0.2,O
D02AE01,carbamide,,
C05AD07,pramocaine,,
R06AX16,deptropine,2,O
L01DA01,dactinomycin,,
D07CC03,fludroxycortide and antibiotics,,
D11AC52,"compounds containing cadmium, combinations",,
L01AB02,treosulfan,,
C05CH,homeopathic and anthroposophic capillary stabilizers,,
R05GB,expectorants and antibiotics,,
G02CA01,ritodrine,40,O
P03BA03,decamethrin,,
A02BX70,"other ulcer therapeutics, combinations with psycholeptics",,
R03BA03,flunisolide,1,Inhal
P03AB,chlorine containing products,,
J01AA05,metacycline,0.6,O
A13AH20,mixes,,
J01DE03,cefozopran,4,P
N06BA11,dexmethylphenidate,15,O
C05CP01,horse chestnut seeds**,"0,1",O
M09AX01,hyaluronic acid,3.6,P
G04BD02,flavoxate,0.8,O
C02KH20,mixes,,
P02BX02,niridazole,,
J05AP05,simeprevir,0.15,O
D04A,"antipruritics, incl. antihistamines, anesthetics, etc.",,
L01XA01,cisplatin,,
C02CA06,urapidil,0.12,O
G03FB04,megestrol and estrogen,,
C09DX,"angiotensin ii antagonists, other combinations",,
R02AD02,lidocaine,,
J01DI03,faropenem,,
D10AD04,isotretinoin,,
C09BA25,ramipril and hydrochlorothiazide,,
C05AA06,fluorometholone,,
C02DG,guanidine derivatives,,
C01EB07,"fructose 1,6-diphosphate",,
B05AX42,platelets without central pharmaceutical number,,
S01AX24,benzalkonium chloride,,
J01GB08,sisomicin,0.24,P
N02AJ,opioids in combination with non-opioid analgesics,,
D11AX08,tiratricol,,
D07C,"corticosteroids, combinations with antibiotics",,
R01AD04,flunisolide,0.15,N
D07AB03,flumetasone,,
D06BA06,sulfamerazine,,
A07AB02,phthalylsulfathiazole,9,O
S01AA19,ampicillin,,
L03AG05,bacillus cereus,,
J01CA09,azlocillin,12,P
D07AC19,difluprednate,,
R02AA40,silver-containing compounds,,
G03AC03,levonorgestrel,,
B02BX06,emicizumab,,
D04AA14,clemastine,,
V09AB02,iodine iolopride (123i),,
J05AR21,dolutegravir and rilpivirine,,
D04AB06,tetracaine,,
J07BM,papillomavirus vaccines,,
A11GB,"ascorbic acid (vitamin c), combinations",,
A06AX06,tegaserod,12,O
A03PP02,celandine,"3,5",O
M01AA01,phenylbutazone,0.3,O
J07BC02,"hepatitis a, inactivated, whole virus",,
S02DA03,phenazone,,
J05AR12,lamivudine and tenofovir disoproxil,,
C07FX18,"atenolol, chlorotalidone and hydralazine",,
R03DA07,theobromine,,
V06DF,milk substitutes,,
V03AB38,andexanet alfa,,
R04AX01,ems salt,,
C05AA05,betamethasone,,
M02BA04,benzyl nicotinate,,
D07AB08,desonide,,
G03CA04,estriol,0.2,V
R03DX10,benralizumab,,
L01CA01,vinblastine,,
C07FX04,bisoprolol and acetylsalicylic acid,,
V09IB02,indium (111in) satumomab pendetide,,
J01GB03,gentamicin,0.24,P
D11AE01,metandienone,,
D04AA10,promethazine,,
J04AM,combinations of drugs for treatment of tuberculosis,,
M,musculo-skeletal system,,
M02AA22,suxibuzone,,
P02CE,imidazothiazole derivatives,,
R02AB03,fusafungine,,
C09CA05,tasosartan,,
N02AJ13,tramadol and paracetamol,,
C05AD55,"procaine, combinations",,
M01AA,butylpyrazolidines,,
A11G,"ascorbic acid (vitamin c), incl. combinations",,
V08AA10,diodone,,
N02CA01,dihydroergotamine,1,N
C09BA08,cilazapril and diuretics,,
C01AP,other herbal preparations with cardiac glycosides,,
R03DH,homeopathic and anthroposophic remedies for systemic use in obstructive respiratory diseases,,
B03BB01,folic acid,0.4,O
B01AE04,melagatran,6,P
M01CA,quinolines,,
R05,cough and cold preparations,,
L03AX17,sipuleucel-t,,
B06AA02,fibrinolysin and desoxyribonuclease,,
A09AX50,"other digestiva, combinations",,
G02CX04,cimicifugae rhizoma,,
A16AX05,zinc acetate,0.15,O
S01GA04,oxymetazoline,,
L01XX42,panobinostat,,
J01DB05,cefadroxil,2,O
G04CA04,silodosin,8,O
L01CB,podophyllotoxin derivatives,,
J05AP06,asunaprevir,,
C02AC,imidazoline receptor agonists,,
A03FA06,clebopride,,
J01AA57,"tetracycline, combinations",1,O
C01DX10,dilazep,0.1,O
N01AX04,propanidid,,
C08EX,other non-selective calcium channel blockers,,
A11HA32,pantethine,,
D05BA02,methoxsalen,10,O
L04AA,selective immunosuppressants,,
D11AX05,magnesium sulfate,,
J01EE07,sulfamerazine and trimethoprim,,
R03AL08,"vilanterol, umeclidinium bromide and fluticasone furoate",,
L04AA35,begelomab,,
G03FA09,noretynodrel and estrogen,,
R03CB02,methoxyphenamine,0.4,O
V09GX04,rubidium (82rb) chloride,,
A03AX09,trepibutone,,
A07A,intestinal antiinfectives,,
N05AN,lithium,,
V90G,noctu fee,,
J05AB,nucleosides and nucleotides excl. reverse transcriptase inhibitors,,
C01BA04,sparteine,0.2,P
R03AL04,indacaterol and glycopyrronium bromide,,
V03AM,drugs for embolisation,,
R06AE01,buclizine,50,O
M01AH,coxibs,,
A03CB31,hyoscyamine and psycholeptics,,
L01XE02,gefitinib,,
B05CA,antiinfectives,,
C05CA02,monoxerutin,,
P01AX04,phanquinone,,
M01CX01,methotrexate,"2,5",O
D11AC15,panthenol,,
M03BA73,"methocarbamol, combinations with psycholeptics",,
V09FX,various thyroid diagnostic radiopharmaceuticals,,
D09AX,soft paraffin dressings,,
B03BB02,calcium folinate,,
N02AC74,"dextropropoxyphene, combinations with psycholeptics",,
D07AB30,combinations of corticosteroids,,
A06AG03,"dantron, incl. combinations",,
G03H,antiandrogens,,
N05AB02,fluphenazine,10,O
A07AB06,sulfaguanol,,
C01CA23,theodrenaline,,
C01BC07,lorcainide,0.2,P
D08AK10,phenylmercury(ii)-acetate,,
C05AP01,witch hazel leaves and bark,,
N02BG08,ziconotide,12,P
N06CB,psychostimulants in combination with psycholeptics,,
R03DA08,bamifylline,,
C02KP01,olive leaves,,
M04AH,homeopathic and anthroposophic gout products,,
A07AX03,nifuroxazide,0.6,O
C02AA02,reserpine,0.5,O
J05AP09,dasabuvir,0.5,O
D07AC15,beclometasone,,
J04B,drugs for treatment of lepra,,
M02AD53,"methyl nicotinate, combinations",,
B01AD05,fibrinolysin,,
N04AA10,mazaticol,,
P01AR02,difetarsone,,
D01AE11,haloprogin,,
J07AG53,"hemophilus influenzae b, combinations with meningococcus c, conjugated",,
C06,other cardiac and circulatory products,,
J01DI,other cephalosporins and penems,,
A02BX12,bismuth subnitrate,,
B03A,iron preparations,,
C09BA,ace inhibitors and diuretics,,
A03AP02,camomile bleeding,,
L01BC59,"trifluridine, combinations",,
M09AX04,drisapersen,,
M01CC01,penicillamine,0.5,O
J01CA12,piperacillin,14,P
A06AG,enemas,,
D04AB07,pramocaine,,
C07AB12,nebivolol,5,O
C05BZ07,coumarin,,
D03AX17,sour whey concentrate,,
S01GX06,emedastine,,
A09AH,homoopathic and anthroposophic digestiva,,
B05C,irrigating solutions,,
N01AA02,vinyl ether,,
C09X,other agents acting on the renin-angiotensin system,,
A10BG01,troglitazone,0.4,O
G04BH15,various homeopathic and anthroposophic remedies for erectile dysfunction,,
V03AB48,silymarin,,
G01AF15,butoconazole,0.1,V
D06BB65,"vidarabine, combinations",,
M02BB59,"diethylamine salicylate, combinations",,
J06AA02,tetanus antitoxin,,
V09EB01,technetium (99mtc) macrosalb,,
C04AC53,"inositol nicotinate, combinations",,
J07BM03,"papillomavirus (human types 6, 11, 16, 18, 31, 33, 45, 52, 58)",,
D03AP51,"witch hazel leaves and bark, combinations",,
A11H,other plain vitamin preparations,,
N02BH20,mixes,,
B05D,peritoneal dialytics,,
P02BA01,praziquantel,3,O
N02BA10,benorilate,3,O
V70CB,individually prepared parenteral antibiotic containing infusion solutions,,
J01CA06,bacampicillin,1.2,O
A10XP02,copalchirind extract,,
N07XX06,tetrabenazine,0.1,O
C01AA54,"digitoxin, combinations",,
N02AX01,tilidine,0.2,O
L01XD04,aminolevulinic acid,,
J01XA05,oritavancin,,
A14AA08,oxandrolone,,
D01AE06,2-(4-chlorphenoxy)-ethanol,,
D07XA,"corticosteroids, weak, other combinations",,
A10BD11,metformin and linagliptin,,
S01BA02,hydrocortisone,,
J04AB03,rifamycin,0.6,P
A12CX01,silica,,
N04BC05,pramipexole,2.5,O
L04AB01,etanercept,7,P
J01AA11,clomocycline,1,O
L04AC15,sirukumab,,
P03AX04,quassia,,
N06CA07,tranylcypromin and psycholeptics,,
C07AB08,celiprolol,0.2,O
C09XA01,remikiren,,
M03BB03,chlorzoxazone,1.5,O
V04CE,tests for liver functional capacity,,
A16AB16,idursulfase beta,,
A03DA08,barverine and analgesics,,
N02AB03,fentanyl,1.2,TD
S01AX13,,,
V09GX01,thallium (201tl) chloride,,
C03AB02,hydroflumethiazide and potassium,25,O
R01BA58,pseudoephedrine and desloratadine,5,O
L01CH01,mistletoe,,
V70DA,accounting of orders in the context of artificial insemination,,
A06AC53,"sterculia, combinations",,
M05BB11,ibandronic acid and colecalciferol,33,P
A07BC07,silicon dioxide,,
S01CA09,chloroprednisone and antiinfectives,,
J07BE01,"mumps, live attenuated",,
C03BK,"sulfonamides, combinations with other drugs",,
S01GX15,antazoline,,
V09IA02,technetium (99mtc) antimelanoma antibody,,
C09DA22,eprosartan and hydrochlorothiazide,,
C04AC01,nicotinic acid,0.2,O
G02BA01,plastic iud,,
N06AZ,,,
D04AX55,"camphor, combinations",,
R03BB07,umeclidinium bromide,55,Inhal
H02A,"corticosteroids for systemic use, plain",,
G04CP56,"sage palm fruits, combinations",,
V01AA04,mould fungus and yeast fungus,,
A16AB13,asfotase alfa,,
R06AC01,mepyramine,0.2,O
C01CA04,dopamine,0.5,P
A03BB03,methylscopolamine,12,O
M01AE08,pirprofen,0.8,O
C06AH10,various,,
G03DB05,demegestone,,
C07BA02,oxprenolol and thiazides,,
N05CC02,chloralodol,1.6,O
N05CP03,st. john's wort,,
C04AA01,isoxsuprine,60,O
C02LA,rauwolfia alkaloids and diuretics in combination,,
N05CD02,nitrazepam,5,O
A07AA06,paromomycin,3,O
C01CA,adrenergic and dopaminergic agents,,
C05BZ02,hydroxyethylrutosides,,
R04AP50,"other essential oils, combinations",,
A12CC50,"other magnesium salts, combinations",,
M02AC02,methyl salicylate,,
C04AX19,suloctidil,,
M02AA79,"flufenamic acid, combinations",,
N03AA,barbiturates and derivatives,,
N06BX06,citicoline,,
C01AA02,acetyldigoxin,0.5,O
N05AE02,molindone,50,O
J01CR25,piperacillin and tazobactam,14,P
A10XP,herbal antidiabetics,,
A06AB63,"aloe, combinations",,
H02BX20,mixes,,
D02AX20,mixes,,
M01AE56,naproxen and misoprostol,,
C09AA06,quinapril,15,O
A04AB02,dimensional hydrinate,"0,275",O
R05DA03,hydrocodone,15,O
C07AB01,practolol,0.3,O
J07BX,other viral vaccines,,
A07BC54,"attapulgite, combinations",,
A05BH10,various,,
M09AB03,bromelains,,
